umidade_solo_mm,umidade_solo_passada_1d_mm,umidade_solo_passada_2d_mm,umidade_solo_passada_3d_mm,precipitacao_observada_mm,irrigacao_aplicada_mm,irrigacao_aplicada_dia_posterior_mm,etreal_mm_dia,previsao_chuva_24h_mm,previsao_temperatura_maxima_C,previsao_temperatura_minima_C,previsao_radiacao_solar_MJ_m2_dia,temperatura_media_C,temperatura_maxima_C,temperatura_minima_C,umidade_relativa_pct,velocidade_vento_m_s,radiacao_solar_MJ_m2_dia,dr_mm,profundidade_radicular_mm,gdd_acumulado_C_dia,etr_acumulado_mm,doy_sin,doy_cos,month_sin,month_cos,escoamento_superficial_mm,drenagem_mm,taw_mm,dias_desde_semeadura,deficit_agua_proximo_dia_mm
24.755442313333337,24.794524999999997,16.40641666666667,11.2612,0.0,0.0,0.0,2.769,0.0,11.850000000000025,1.18100000000004,18.0144,8.61,13.54,4.71,80.96,3.01,18.21,1.2564916866666669,75.179,20.300000000000004,7.849,-0.6680638642135333,-0.7441039398713608,-0.8660254037844385,-0.5000000000000004,0.0,0.0,10.374702000000001,3,2.707446386666667
23.304487613333333,24.755442313333337,24.794524999999997,16.40641666666667,0.0,0.0,0.0,2.967,0.0,18.25,4.650000000000034,16.718400000000003,5.95,13.58,0.48,81.21,2.58,17.41,2.707446386666667,75.179,23.1,10.815999999999999,-0.6807734094770159,-0.7324940716135792,-0.8660254037844385,-0.5000000000000004,0.0,0.0,10.374702000000001,4,5.275321480000001
26.111722519999997,23.304487613333333,24.755442313333337,24.794524999999997,0.0,0.0,0.0,3.409,0.0,24.838000000000022,12.674000000000037,14.58,10.66,20.24,4.49,82.15,2.58,17.42,5.275321480000001,90.714,29.200000000000003,14.225,-0.6932812268869771,-0.7206671495538615,-0.8660254037844385,-0.5000000000000004,0.0,0.0,12.518531999999999,5,7.901723346666667
32.13532065333333,26.111722519999997,23.304487613333333,24.755442313333337,0.0,0.0,0.0,1.612,0.0,25.950000000000045,17.05000000000001,15.3576,16.7,24.56,11.49,85.75,2.44,12.04,7.901723346666667,115.714,39.25,15.837,-0.7055836101071774,-0.70862667826446,-0.8660254037844385,-0.5000000000000004,0.0,0.0,15.968532,6,10.77587812
37.91116588,32.13532065333333,26.111722519999997,23.304487613333333,0.0,0.0,0.0,1.336,0.0,20.02600000000001,9.850000000000025,17.928,20.28,24.77,16.87,81.97,3.65,11.98,10.77587812,140.714,52.10000000000001,17.173,-0.7176769136759615,-0.6963762255968726,-0.8660254037844385,-0.5000000000000004,0.0,0.0,19.418532,7,12.559314480000001
44.68344552,37.91116588,32.13532065333333,26.111722519999997,0.0,0.0,0.0,1.178,0.125,12.483000000000004,4.369000000000028,18.36,15.27,19.35,10.85,80.63,4.05,15.19,12.559314480000001,165.714,59.2,18.351,-0.7295575540864876,-0.6839194216246105,-0.8660254037844385,-0.5000000000000004,0.0,0.21,22.837104,8,13.5442
47.2808,44.68344552,37.91116588,32.13532065333333,0.0,0.0,0.0,1.065,0.0,14.83200000000005,5.277000000000044,17.9064,9.81,14.88,6.96,77.18,3.68,18.69,13.5442,176.25,62.650000000000006,19.416,-0.7412220108485957,-0.6712599575675315,-0.8660254037844385,-0.5000000000000004,0.0,0.422,24.27,9,14.4522856
49.8940944,47.2808,44.68344552,37.91116588,0.0,0.0,0.0,0.98,0.0,15.25,4.698000000000036,18.3384,9.55,16.51,5.26,80.6,3.14,18.44,14.4522856,186.607,66.9,20.396,-0.7526668275320083,-0.6584015846980489,-0.8660254037844385,-0.5000000000000004,0.0,0.549,25.678552,10,15.316867093333332
52.490372906666664,49.8940944,47.2808,44.68344552,0.0,0.0,0.0,0.927,0.0,17.293000000000006,6.550000000000011,17.5176,9.86,17.11,4.64,80.31,3.12,18.64,15.316867093333332,196.786,71.45,21.323,-0.7638886127905429,-0.64534811322955,-0.8660254037844385,-0.5000000000000004,0.0,0.613,27.062896,11,16.1518938
57.0589662,52.490372906666664,49.8940944,47.2808,0.0,0.0,0.0,0.873,0.0,17.596000000000004,6.9500000000000455,18.8352,11.12,18.42,6.48,83.19,3.39,15.88,16.1518938,212.679,76.65,22.195999999999998,-0.7748840413670406,-0.6321034111873488,-0.8660254037844385,-0.5000000000000004,0.0,0.633,29.224344,12,16.963992440000002
61.83238756,57.0589662,52.490372906666664,49.8940944,0.01,0.0,0.0,0.8270000000000001,0.0,17.55000000000001,7.564000000000021,16.2,11.3,18.46,6.69,83.0,2.24,17.73,16.963992440000002,229.107,81.9,23.023,-0.7856498550787144,-0.6186714032625032,-0.8660254037844385,-0.5000000000000004,0.0,0.621,31.458551999999997,13,17.76950424
